,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA,COUNTY,DEATHRATES19,DEATHCOUNTS19,DEATHRATES20,DEATHCOUNTS20,COUNTS_GR19,COUNTS_GR20
10,144,3751,134,10,1514,15.770625020534668,410.80287813906625,1.095182293092685,165.81059917423255,0.0012297133907938976,Kern,12.79,117.0,24.32,222.0,27.173913043478258,89.74358974358975
11,140,4674,132,8,1666,12.073753384963002,403.0908808665505,0.6899287648550287,143.67766528105975,0.011068944581471963,Contra Costa,7.86,91.0,12.61,144.0,10.975609756097562,58.24175824175825
12,110,3882,103,7,1152,14.076180287717126,496.76119888107166,0.8957569274001806,147.41599719500115,0.005030991014278365,San Joaquin,5.3,39.0,11.1,85.0,50.0,117.94871794871796
13,102,5334,92,10,2757,11.548193896439873,603.9026102314733,1.1321758721999875,312.14088796553654,0.2132455112057107,San Francisco,26.96,279.0,44.51,443.0,89.79591836734694,58.78136200716846
14,97,2879,90,7,1367,12.723697690189768,377.6445943304777,0.9182049879518389,179.31231693288052,0.015608479360719452,San Mateo,7.87,65.0,10.06,81.0,66.66666666666666,24.615384615384617
15,91,3500,86,5,1209,16.374917225693142,629.8045086805056,0.8997207266864365,217.55247171278037,0.0033454873607232315,Stanislaus,8.57,46.0,13.5,74.0,31.428571428571427,60.86956521739131
16,80,2399,74,6,713,16.47032664775324,493.9039203495003,1.2352744985814932,146.79178624810075,0.0038074977044482237,Sonoma,13.09,65.0,23.69,111.0,51.162790697674424,70.76923076923077
17,78,2248,73,5,925,17.413163011762812,501.8562878261899,1.1162283981899241,206.50225366513592,0.001828072920968797,Santa Barbara,5.54,26.0,3.54,16.0,-21.21212121212121,-38.46153846153847
18,75,2966,72,3,710,15.97760578772792,631.8610502186801,0.6391042315091169,151.2546681238243,0.0006218567256133803,Tulare,2.52,12.0,8.22,39.0,71.42857142857143,225.0
19,69,2554,65,4,449,24.413976116762495,903.6709420610349,1.4153029632905794,158.86775762936756,0.0012118956214064573,San Luis Obispo,8.12,21.0,20.56,57.0,61.53846153846154,171.42857142857142
20,67,1760,63,4,766,15.427728002247383,405.2656908053044,0.9210583881938736,176.3826813391268,0.0012192869626487795,Monterey,4.46,20.0,5.85,25.0,150.0,25.0
21,56,1621,51,5,698,12.403677690435213,359.04217028920505,1.107471222360287,154.60298264149606,0.0060844125640395225,Solano,7.32,34.0,8.71,39.0,78.94736842105263,14.705882352941178
22,45,1588,42,3,490,17.499241699526355,617.5287959743966,1.166616113301757,190.54729850595365,0.005763771903217528,Marin,9.27,22.0,14.06,33.0,175.0,50.0
23,44,1021,42,2,224,15.45280222520352,358.5752516348362,0.7024001011456146,78.66881132830883,0.0010336091424397165,Merced,7.74,20.0,9.98,29.0,0.0,45.0
24,44,1387,41,3,467,22.348638764729785,704.4900446972775,1.5237708248679398,237.20032507110932,0.0018332212515237709,Butte,5.83,12.0,11.54,26.0,-29.411764705882355,116.66666666666667
25,41,1660,38,3,607,22.674232117773283,918.0298857439914,1.6590901549590207,335.6892413533751,0.0007946212297176229,Shasta,11.11,18.0,16.25,27.0,80.0,50.0
26,41,1960,38,3,798,9.99203074620973,477.6678112822213,0.7311242009421753,194.47903745061865,0.0021320678385775248,Placer,7.39,30.0,12.22,45.0,275.0,50.0
27,35,760,31,4,268,26.08319794911541,566.3780126093632,2.9809369084703325,199.72277286751228,0.001121085657222065,Humboldt,19.05,24.0,18.34,24.0,50.0,0.0
