,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
126,Lake,17.02,13.0,2017,14.11,11.0,4.63,3.0,6.12,4.0
127,Lassen,13.91,5.0,2017,13.91,5.0,2.11,1.0,0.0,0.0
128,Los Angeles,4.05,447.0,2017,3.0,331.0,1.57,174.0,1.08,117.0
129,Madera,3.75,6.0,2017,3.75,6.0,0.88,1.0,0.0,0.0
130,Marin,6.59,15.0,2017,4.08,9.0,2.51,6.0,0.98,2.0
131,Mariposa,5.51,1.0,2017,5.51,1.0,0.0,0.0,0.0,0.0
132,Mendocino,19.34,17.0,2017,14.46,13.0,7.8,6.0,2.87,2.0
133,Merced,4.67,13.0,2017,4.29,12.0,0.38,1.0,0.0,0.0
134,Modoc,23.58,3.0,2017,23.58,3.0,0.0,0.0,0.0,0.0
135,Mono,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
136,Monterey,1.65,7.0,2017,0.66,3.0,0.43,2.0,0.21,1.0
137,Napa,3.15,4.0,2017,0.0,0.0,3.15,4.0,0.0,0.0
138,Nevada,5.5,6.0,2017,3.73,4.0,1.76,2.0,0.45,1.0
139,Orange,7.5,255.0,2017,5.28,180.0,2.78,92.0,1.43,47.0
140,Placer,4.79,18.0,2017,3.15,12.0,1.46,5.0,0.32,1.0
141,Plumas,2.0,1.0,2017,2.0,1.0,0.0,0.0,0.0,0.0
142,Riverside,5.67,140.0,2017,2.94,72.0,2.36,59.0,1.17,28.0
143,Sacramento,3.75,61.0,2017,2.38,39.0,1.34,22.0,0.55,9.0
144,San Benito,9.47,6.0,2017,4.88,3.0,4.6,3.0,3.26,2.0
145,San Bernardino,2.65,57.0,2017,1.56,34.0,1.14,24.0,0.57,12.0
146,San Diego,7.81,284.0,2017,6.02,220.0,1.93,69.0,2.04,75.0
147,San Francisco,9.62,99.0,2017,6.78,70.0,3.23,34.0,1.64,19.0
148,San Joaquin,9.18,69.0,2017,7.08,53.0,2.3,17.0,0.62,5.0
149,San Luis Obispo,7.77,21.0,2017,2.36,7.0,0.96,3.0,0.0,0.0
150,San Mateo,4.75,40.0,2017,4.36,37.0,0.38,3.0,1.2,9.0
151,Santa Barbara,7.48,32.0,2017,4.31,20.0,2.61,10.0,2.11,9.0
152,Santa Clara,3.19,67.0,2017,2.36,49.0,1.21,25.0,0.66,13.0
153,Santa Cruz,6.59,18.0,2017,3.6,11.0,3.62,9.0,0.46,1.0
154,Shasta,14.06,24.0,2017,8.96,15.0,5.35,9.0,0.63,1.0
155,Sierra,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
156,Siskiyou,9.97,4.0,2017,9.97,4.0,0.0,0.0,3.53,1.0
157,Solano,2.46,10.0,2017,1.69,7.0,0.76,3.0,0.0,0.0
158,Sonoma,5.99,30.0,2017,3.1,16.0,3.55,17.0,0.86,4.0
159,Stanislaus,3.39,18.0,2017,2.45,13.0,0.55,3.0,0.72,3.0
160,Sutter,2.05,2.0,2017,1.26,1.0,0.0,0.0,0.0,0.0
161,Tehama,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
162,Trinity,4.34,1.0,2017,4.34,1.0,0.0,0.0,0.0,0.0
163,Tulare,2.59,11.0,2017,1.04,4.0,0.27,1.0,0.0,0.0
164,Tuolumne,9.47,5.0,2017,8.71,4.0,0.75,1.0,0.0,0.0
165,Alameda,3.1,56.0,2018,2.28,42.0,0.44,8.0,0.8,14.0
166,Alpine,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
167,Amador,2.9,1.0,2018,2.9,1.0,0.0,0.0,2.9,1.0
168,Butte,6.55,17.0,2018,5.34,15.0,1.21,2.0,0.0,0.0
169,Calaveras,9.71,3.0,2018,6.43,2.0,3.54,1.0,0.0,0.0
170,Colusa,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
171,Contra Costa,6.82,82.0,2018,5.55,67.0,1.45,17.0,2.24,25.0
172,Del Norte,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
173,El Dorado,4.14,7.0,2018,2.73,5.0,0.74,1.0,1.14,2.0
174,Fresno,3.52,35.0,2018,3.43,34.0,0.0,0.0,0.18,2.0
175,Glenn,4.71,1.0,2018,0.0,0.0,4.71,1.0,0.0,0.0
176,Humboldt,11.17,16.0,2018,9.36,13.0,1.82,3.0,0.0,0.0
177,Imperial,10.07,16.0,2018,3.08,5.0,0.0,0.0,1.98,3.0
178,Inyo,17.77,3.0,2018,17.77,3.0,7.22,1.0,7.22,1.0
179,Kern,10.46,92.0,2018,8.75,77.0,2.24,20.0,3.29,28.0
180,Kings,2.76,4.0,2018,2.08,3.0,0.67,1.0,0.0,0.0
181,Lake,22.7,21.0,2018,18.52,18.0,2.26,2.0,3.62,3.0
182,Lassen,11.9,4.0,2018,9.28,3.0,2.62,1.0,0.0,0.0
183,Los Angeles,4.57,497.0,2018,3.54,385.0,1.64,178.0,1.9,201.0
184,Madera,3.98,6.0,2018,2.43,4.0,0.77,1.0,0.0,0.0
185,Marin,3.46,8.0,2018,2.15,5.0,1.3,3.0,0.67,2.0
186,Mariposa,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
187,Mendocino,13.7,14.0,2018,12.39,13.0,3.44,3.0,1.43,1.0
188,Merced,7.3,20.0,2018,6.21,17.0,1.4,4.0,2.95,8.0
