COUNTY,PRECOVID_RATES,PRECOVID_COUNTS,COVID_RATES,COVID_COUNTS,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA
Inyo,11.668000000000001,1.8,22.03,3.0,5.0,161.0,3.0,2.0,62.0,27.434842249657063,883.4019204389575,10.973936899862826,340.1920438957476,0.0001964444444444
Kern,9.258,82.6,24.32,222.0,144.0,3751.0,134.0,10.0,1514.0,15.770625020534668,410.8028781390663,1.095182293092685,165.81059917423255,0.0012297133907938
Kings,3.148,4.6,7.36,10.0,17.0,498.0,16.0,1.0,173.0,10.893525401138051,319.1162146921618,0.6407956118316502,110.85764084687548,0.0007197243297277
Lake,22.304,17.2,26.11,17.0,15.0,332.0,13.0,2.0,62.0,23.24716384601079,514.5372264583721,3.099621846134772,96.08827723017792,0.00159173950778
Lassen,15.930000000000001,5.4,18.12,7.0,7.0,121.0,6.0,1.0,25.0,22.96361906636486,396.9425581471641,3.280517009480694,82.01292523701736,0.0002202079847784
Los Angeles,4.236,457.4,12.4,1300.0,3781.0,65542.0,3708.0,72.0,20947.0,37.92563526191357,657.4244872616608,0.722201993879338,210.11062730264572,0.0177422879961001
Madera,5.65,9.2,4.87,7.0,22.0,862.0,20.0,2.0,464.0,13.904953323599866,544.8213529519584,1.264086665781806,293.268106461379,0.0009358488657982
Marin,5.432,12.4,14.06,33.0,45.0,1588.0,42.0,3.0,490.0,17.499241699526355,617.5287959743966,1.166616113301757,190.54729850595365,0.0057637719032175
Mariposa,7.138,1.4,3.87,1.0,5.0,34.0,4.0,1.0,34.0,29.76367640931008,202.39299958330847,5.952735281862015,202.39299958330847,0.0006902196559319
Mendocino,17.31,15.6,25.84,20.0,28.0,488.0,25.0,3.0,118.0,32.76961788284862,571.1276259582188,3.5110304874480662,138.1005325062906,0.0008555889753642
Merced,7.5760000000000005,19.2,9.98,29.0,44.0,1021.0,42.0,2.0,224.0,15.45280222520352,358.5752516348362,0.7024001011456146,78.66881132830883,0.0010336091424397
Modoc,6.148,0.8,0.0,0.0,2.0,105.0,0.0,2.0,105.0,22.41398632746834,1176.734282192088,22.41398632746834,1176.734282192088,0.0005107923344166
Mono,1.378,0.2,0.0,0.0,1.0,17.0,0.0,1.0,17.0,6.884207627702051,117.03152967093487,6.884207627702051,117.03152967093487,0.0003279843040066
Monterey,2.698,12.2,5.85,25.0,67.0,1760.0,63.0,4.0,766.0,15.427728002247385,405.2656908053044,0.9210583881938736,176.3826813391268,0.0012192869626487
Napa,3.3840000000000003,4.8,5.2,8.0,24.0,2518.0,22.0,2.0,351.0,17.692069529833255,1856.192961505005,1.4743391274861044,258.7465168738113,0.0026724844088637
Nevada,7.228,7.0,34.09,30.0,16.0,566.0,14.0,2.0,174.0,15.960258955201548,564.5941605402547,1.9950323694001932,173.56781613781683,0.0020881624754361
Orange,7.790000000000001,263.8,15.45,503.0,482.0,14362.0,456.0,26.0,5968.0,15.180480799211372,452.3279361789912,0.8188641095010283,187.9608079039284,0.0328781964832936
Placer,4.362,17.0,12.22,45.0,41.0,1960.0,38.0,3.0,798.0,9.99203074620973,477.6678112822213,0.7311242009421753,194.47903745061865,0.0021320678385775
Plumas,12.636,1.8,6.28,1.0,4.0,78.0,1.0,3.0,78.0,21.120439305137545,411.84856645018215,15.84032947885316,411.84856645018215,0.0011750673214002
Riverside,6.2700000000000005,155.6,16.05,400.0,300.0,9170.0,283.0,17.0,3512.0,11.904478464798457,363.88022507400615,0.674587113005246,139.36176122790727,0.002359017642437
Sacramento,4.326,69.0,6.81,107.0,211.0,7433.0,203.0,8.0,2935.0,13.365596574353258,470.8363949628804,0.5067524767527302,185.91481490865783,0.0082906691666455
San Benito,5.95,3.6,6.33,4.0,6.0,144.0,5.0,1.0,82.0,9.161704076958314,219.88089784699957,1.5269506794930523,125.20995571843032,0.0007200931439914
San Bernardino,3.386,74.0,12.95,288.0,483.0,10940.0,464.0,19.0,4079.0,21.88739095955591,495.75167100940297,0.8609946754276651,184.8419621615498,0.0009472973377138
San Diego,7.632,273.4,15.14,528.0,421.0,16456.0,403.0,18.0,6260.0,12.577413832765208,491.6245178906989,0.5377516603082512,187.018077418314,0.004278917924159
