,County,Year,Employment,Labor Force,Unemployment,Unemployment Rate,Opioid Death Rate,Opioid Death
59,Del Norte,2020,8467.5,9350.0,884.1666666666666,9.499999999999998,9.01,3.0
60,Imperial,2015,57875.0,76750.0,18891.666666666668,24.59166666666667,2.64,4.0
61,Imperial,2016,57016.666666666664,75183.33333333333,18175.0,24.183333333333337,1.87,3.0
62,Imperial,2017,57933.333333333336,72091.66666666667,14175.0,19.64166666666667,0.48,1.0
63,Imperial,2018,57750.0,71166.66666666667,13400.0,18.833333333333332,3.08,5.0
64,Imperial,2019,58250.0,73633.33333333333,15375.0,20.849999999999998,5.23,9.0
65,Imperial,2020,53950.0,69591.66666666667,15658.333333333334,22.425,12.43,21.0
66,El Dorado,2015,82850.0,87908.33333333333,5050.0,5.741666666666667,2.7,5.0
67,El Dorado,2016,84241.66666666667,88825.0,4575.0,5.141666666666666,4.7,7.0
68,El Dorado,2017,85816.66666666667,89775.0,3958.3333333333335,4.3999999999999995,1.85,3.0
69,El Dorado,2018,87708.33333333333,91033.33333333333,3333.3333333333335,3.6500000000000004,2.73,5.0
70,El Dorado,2019,88833.33333333333,92141.66666666667,3300.0,3.5749999999999997,3.4,6.0
71,El Dorado,2020,83266.66666666667,90750.0,7483.333333333333,8.275,11.72,22.0
72,Fresno,2015,395175.0,440316.6666666667,45133.333333333336,10.241666666666667,6.01,55.0
73,Fresno,2016,402366.6666666667,444733.3333333333,42366.666666666664,9.525,6.37,62.0
74,Fresno,2017,406558.3333333333,444766.6666666667,38225.0,8.583333333333334,3.79,39.0
75,Fresno,2018,412341.6666666667,446250.0,33941.666666666664,7.6000000000000005,3.43,34.0
76,Fresno,2019,417308.3333333333,450500.0,33191.666666666664,7.375,3.95,39.0
77,Fresno,2020,395266.6666666667,445508.3333333333,50266.666666666664,11.291666666666666,6.14,62.0
78,Glenn,2015,11828.333333333334,12964.166666666666,1137.5,8.783333333333335,2.59,1.0
79,Glenn,2016,11868.333333333334,12949.166666666666,1082.5,8.366666666666665,3.39,1.0
80,Glenn,2017,11847.5,12811.666666666666,965.0,7.516666666666666,0.0,0.0
81,Glenn,2018,11925.833333333334,12768.333333333334,842.5,6.591666666666666,0.0,0.0
82,Glenn,2019,12175.833333333334,12986.666666666666,811.6666666666666,6.233333333333334,0.0,0.0
83,Glenn,2020,11455.833333333334,12569.166666666666,1113.3333333333333,8.858333333333333,10.47,2.0
84,Kings,2015,51633.333333333336,57741.666666666664,6100.0,10.575000000000001,3.42,5.0
85,Kings,2016,51441.666666666664,57166.666666666664,5691.666666666667,9.983333333333334,2.75,4.0
86,Kings,2017,52166.666666666664,57300.0,5133.333333333333,8.958333333333334,4.52,6.0
87,Kings,2018,52958.333333333336,57491.666666666664,4550.0,7.908333333333334,2.08,3.0
88,Kings,2019,53183.333333333336,57816.666666666664,4633.333333333333,8.024999999999999,1.06,2.0
89,Kings,2020,49891.666666666664,56433.333333333336,6550.0,11.566666666666668,6.6,9.0
90,Humboldt,2015,58775.0,62291.666666666664,3500.0,5.625,12.59,18.0
91,Humboldt,2016,59333.333333333336,62416.666666666664,3091.6666666666665,4.95,16.4,25.0
92,Humboldt,2017,59883.333333333336,62516.666666666664,2641.6666666666665,4.233333333333333,15.49,21.0
93,Humboldt,2018,60258.333333333336,62550.0,2275.0,3.65,9.36,13.0
94,Humboldt,2019,59825.0,62108.333333333336,2275.0,3.6666666666666665,13.96,18.0
95,Humboldt,2020,54450.0,59425.0,4958.333333333333,8.416666666666666,15.88,21.0
96,Inyo,2015,8553.333333333334,9082.5,530.0,5.833333333333333,0.0,0.0
97,Inyo,2016,8390.0,8860.0,469.1666666666667,5.291666666666667,14.93,2.0
98,Inyo,2017,8231.666666666666,8611.666666666666,380.0,4.408333333333332,3.19,1.0
99,Inyo,2018,8363.333333333334,8705.0,340.8333333333333,3.916666666666666,17.77,3.0
100,Inyo,2019,8438.333333333334,8752.5,315.0,3.591666666666667,14.47,2.0
101,Inyo,2020,7658.333333333333,8305.0,648.3333333333334,7.8500000000000005,22.03,3.0
102,Lake,2015,26789.166666666668,29007.5,2216.6666666666665,7.633333333333334,26.92,19.0
103,Lake,2016,27108.333333333332,29066.666666666668,1959.1666666666667,6.75,11.52,9.0
104,Lake,2017,27617.5,29322.5,1706.6666666666667,5.808333333333334,14.11,11.0
105,Lake,2018,27527.5,29071.666666666668,1545.8333333333333,5.325,18.52,18.0
106,Lake,2019,27507.5,29006.666666666668,1498.3333333333333,5.150000000000001,21.86,15.0
107,Lake,2020,25566.666666666668,28265.833333333332,2699.1666666666665,9.591666666666667,16.18,11.0
