County,County_group,CPM_rate,CPM_rate_margin_ error,CPM_number,CPM_number_margin_error ,official_rate,official_rate_margin_error,CPM_child_rate,CPM_child_rate_margin_error,CPM_threshold,increase_no_safety,increase_no_safety_margin_error,increase_no_CalFresh ,increase_no_CalFresh_margin_error,increase_no_CalWorks_GA,increase_no_CalWorks_GA_margin_error,increase_no_EITC,increase_no_EITC_margin_error,increase_no_CTC,increase_no_CTC_margin_error,increase_no_CALEITC_YCTC,increase_no_CALEITC_YCTC_margin_error
Sonoma,Sonoma,14.4%,2.0," 70,700 "," 9,700 ",8.1%,1.2,15.7%,4.2,"$36,608",3.5,1.0,0.8,0.6,0.3,0.4,1.0,0.5,1.3,0.7,0.0,0.0
Stanislaus,Stanislaus,14.4%,1.6," 78,200 "," 8,900 ",13.3%,1.7,13.1%,2.6,"$29,011",10.9,1.8,2.5,0.8,1.7,0.8,2.1,0.9,1.2,0.8,0.0,
Sutter,Sutter/Yuba,11.9%,2.4," 20,500 "," 4,100 ",13.7%,2.7,10.1%,3.6,"$27,573",11.3,3.4,2.3,1.6,1.5,1.5,2.5,1.6,1.3,1.3,0.0,
Tehama,Colusa/Glenn/Tehama/Trinity,14.3%,3.5," 17,800 "," 4,400 ",16.4%,3.6,14.7%,7.3,"$26,121",9.9,3.4,1.8,1.5,0.6,0.8,1.3,1.1,0.9,1.1,0.0,0.1
Trinity,Colusa/Glenn/Tehama/Trinity,13.2%,2.7," 17,800 "," 4,400 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Tulare,Tulare,14.3%,3.5," 75,600 "," 11,000 ",16.4%,3.6,14.7%,7.3,"$26,121",9.9,3.4,1.8,1.5,0.6,0.8,1.3,1.1,0.9,1.1,0.0,0.1
Tuolumne,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,16.4%,2.4," 23,700 "," 4,800 ",22.7%,2.6,15.7%,4.0,"$26,338",16.5,2.6,4.3,1.5,1.5,0.7,3.2,1.2,1.3,0.9,0.0,0.1
Ventura,Ventura,16.3%,1.7," 136,000 "," 14,000 ",8.5%,1.1,19.5%,3.1,"$36,966",4.5,1.0,1.0,0.5,0.5,0.4,1.4,0.6,0.8,0.4,0.0,
Yolo,Yolo,20.9%,2.5," 42,100 "," 5,100 ",15.9%,2.5,15.3%,4.8,"$32,470",5.6,1.9,1.2,1.1,0.2,0.3,2.1,1.4,1.5,1.2,0.0,
Yuba,Sutter/Yuba,11.9%,2.4," 20,500 "," 4,100 ",13.7%,2.7,10.1%,3.6,"$27,573",11.3,3.4,2.3,1.6,1.5,1.5,2.5,1.6,1.3,1.3,0.0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
