SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
167,2020,000000,,,1,42-452300,            General Merchandise Stores,"68,300","70,500","76,100","74,600","75,500","74,700","74,100","72,200","70,500","71,300","72,300","75,000","84,200","98,000","103,700","108,000","114,100","121,500","126,500","130,000","135,600","145,800","157,700","163,100","163,500","168,000","172,200","174,700","179,200","182,200","188,600",
168,2020,000000,,,1,42-453000,          Miscellaneous Store Retailers,"96,700","91,200","89,300","89,200","92,300","96,700","101,600","104,900","108,400","111,800","114,600","112,700","109,800","105,400","103,600","102,600","101,900","100,100","94,800","87,300","86,900","87,600","89,300","91,700","93,100","93,900","91,900","91,200","91,100","91,900","76,000",
170,2020,000000,,,1,42-453200,"            Office Supplies, Stationery & Gift Stores","46,500","44,000","43,000","44,000","46,400","49,400","52,200","54,400","56,400","57,800","58,800","56,300","53,600","49,300","48,300","47,500","46,000","44,600","41,400","37,700","37,400","36,900","36,300","36,700","35,700","34,500","32,800","31,300","30,000","28,800","21,300",
171,2020,000000,,,1,42-453300,            Used Merchandise Stores,"9,500","9,000","9,100","9,200","9,700","10,200","11,000","11,500","12,100","12,700","12,700","13,200","13,200","12,700","12,500","12,700","12,900","13,100","13,200","13,100","13,800","14,400","15,200","16,700","18,000","18,800","18,400","18,500","18,300","18,400","14,100",
172,2020,000000,,,1,42-453900,            Other Miscellaneous Store Retailers,"26,600","25,000","25,100","24,900","25,100","26,200","27,500","28,300","29,200","30,800","32,200","32,600","33,300","34,200","34,300","34,200","35,200","35,100","33,800","31,400","31,200","32,000","33,400","33,800","34,800","35,800","35,900","36,500","37,900","39,700","36,500",
174,2020,000000,,,1,42-454000,          Nonstore Retailers,"29,100","28,100","26,800","26,500","26,700","28,000","28,800","28,500","29,300","31,400","38,600","36,100","32,500","32,000","32,900","34,200","35,800","38,400","40,100","36,700","35,400","37,700","40,500","44,200","47,900","51,400","55,200","60,100","62,900","63,200","60,300",
175,2020,000000,,,1,42-454100,            Electronic Shopping & Mail-Order,"11,900","11,200","11,400","10,800","11,400","12,500","13,200","13,700","14,300","15,800","23,100","20,800","17,700","18,300","19,400","21,100","22,700","25,200","27,300","25,000","24,300","27,000","30,300","34,100","37,900","41,600","45,100","49,800","52,500","52,900","50,500",
177,2020,000000,"220000, 480000-490000",,1,43-000000,"       Transportation, Warehousing & Utilities","427,000","440,000","439,700","442,700","449,300","461,700","470,700","480,200","499,200","510,400","519,800","515,700","492,800","482,000","484,100","488,500","497,500","509,000","505,800","474,900","466,800","474,700","487,900","503,700","524,800","557,700","594,700","632,100","664,600","704,200","727,800",
178,2020,000000,,,1,43-220000,          Utilities,"65,200","66,500","67,300","65,900","62,500","57,500","56,000","56,300","57,800","57,200","56,200","55,000","55,000","55,600","56,200","55,800","56,400","58,000","59,000","59,400","57,800","58,600","59,600","59,100","58,200","58,300","59,400","58,100","56,600","56,500","58,500",
179,2020,000000,,,1,43-221100,"            Electric Power Generation, Trans & Distribution","21,300","21,400","21,400","21,200","20,600","19,500","17,400","16,100","17,700","18,500","18,200","19,100","18,200","18,100","18,900","19,400","20,100","21,000","21,400","22,100","22,300","22,700","22,500","20,700","19,200","19,300","19,500","19,300","18,500","18,400","19,200",
180,2020,000000,,,1,43-221200,            Natural Gas Distribution,"37,300","40,400","40,400","39,200","36,900","35,200","34,000","35,600","35,000","33,500","32,400","30,100","30,900","32,000","32,200","31,800","32,000","32,600","32,800","32,400","31,000","31,200","32,100","33,400","33,800","34,100","34,900","33,800","33,100","33,000","34,200",
183,2020,000000,480000-490000,,1,43-400089,          Transportation & Warehousing,"361,900","373,600","372,400","376,700","386,800","404,200","414,700","423,900","441,400","453,200","463,600","460,700","437,800","426,400","427,900","432,700","441,100","450,900","446,800","415,500","409,000","416,100","428,300","444,600","466,600","499,400","535,400","574,000","608,000","647,700","669,400",
184,2020,000000,,,1,43-481000,            Air Transportation,"72,700","74,600","72,100","67,400","63,900","63,500","64,600","64,700","65,500","66,500","68,500","69,000","59,200","53,600","50,800","47,900","45,000","46,100","46,700","43,100","41,500","41,500","42,500","43,700","44,600","47,600","51,600","54,800","56,500","58,600","53,000",
185,2020,000000,,,1,43-481100,               Scheduled Air Transportation,"69,500","71,000","68,400","64,000","60,700","60,100","62,000","62,200","62,700","63,300","64,900","65,000","55,300","49,500","46,800","44,000","41,000","41,800","42,700","39,800","38,300","38,300","39,100","40,300","41,100","43,800","47,300","50,200","51,600","53,200","47,900",
189,2020,000000,,,1,43-484000,            Truck Transportation,"89,800","93,400","92,200","92,700","97,300","102,000","105,200","106,500","110,100","114,000","117,600","114,800","109,700","108,400","110,800","111,700","112,200","112,900","110,900","100,200","99,300","102,700","105,300","109,700","113,600","117,600","121,200","122,800","128,200","134,600","135,700",
190,2020,000000,,,1,43-484100,               General Freight Trucking,"48,600","55,200","55,600","56,100","59,600","63,000","65,800","66,100","68,000","69,400","72,400","68,700","63,500","62,100","65,200","67,500","69,600","70,600","70,500","64,000","63,700","66,400","67,800","70,100","73,100","77,900","81,200","82,900","88,200","93,900","96,200",
191,2020,000000,,,1,43-484200,               Specialized Freight Trucking,"41,200","38,200","36,500","36,600","37,700","39,000","39,400","40,500","42,100","44,600","45,200","46,100","46,100","46,300","45,600","44,200","42,700","42,300","40,400","36,200","35,600","36,300","37,500","39,500","40,500","39,700","40,000","39,800","40,000","40,700","39,500",
192,2020,000000,,,1,43-485000,            Transit & Ground Passenger Transportation,"27,000","26,400","26,800","26,700","27,700","28,700","29,200","31,800","33,500","35,500","35,800","35,500","35,900","34,500","34,000","34,000","34,800","36,300","37,800","36,800","37,100","37,700","39,100","40,000","41,000","42,700","45,200","46,900","48,800","52,300","39,500",
195,2020,000000,,,1,43-488000,            Support Activities for Transportation,"51,800","50,700","49,600","49,900","51,300","56,400","58,900","64,000","70,100","71,900","74,600","76,400","76,000","76,500","78,500","82,100","87,000","88,200","84,900","77,000","75,300","77,600","82,600","87,100","91,300","95,400","100,600","108,500","110,900","113,800","103,600",
196,2020,000000,,,1,43-488300,               Support Activities for Water Transportation,"10,600","10,300","9,200","9,000","9,200","10,400","10,100","10,500","12,600","14,900","15,500","17,600","18,300","18,500","19,400","20,900","24,800","24,100","20,700","17,700","16,300","16,500","19,400","19,700","20,500","21,000","21,900","22,500","22,200","22,800","20,900",
197,2020,000000,,,1,43-488400,               Support Activities for Road Transportation,"8,300","8,400","8,100","8,500","8,400","9,300","10,500","11,600","12,800","12,600","12,600","13,500","14,400","14,000","13,600","14,000","14,400","15,200","15,400","14,400","15,200","14,200","14,100","14,200","14,200","14,700","15,100","15,300","15,400","15,500","15,800",
198,2020,000000,,,1,43-488500,               Freight Transportation Arrangement,"15,600","17,300","17,600","18,600","19,700","21,400","22,000","23,700","25,300","25,300","26,800","26,200","24,000","23,500","24,200","25,700","26,100","26,100","26,000","24,100","24,200","24,900","25,200","26,200","27,700","29,000","30,500","32,100","32,500","33,800","32,900",
200,2020,000000,,,1,43-492000,            Couriers & Messengers,"51,400","50,900","52,300","57,300","63,000","67,300","71,600","71,600","75,800","77,100","78,900","78,900","74,200","72,200","70,500","70,400","71,200","71,300","70,300","64,500","62,200","61,600","62,000","63,400","68,000","74,700","81,400","87,600","93,900","102,000","127,100",
203,2020,000000,,,1,43-493000,             Warehousing & Storage,"44,800","48,500","51,000","55,300","56,600","59,200","58,700","59,800","61,000","63,200","63,600","62,600","59,500","58,800","62,000","63,900","67,700","72,600","71,800","69,500","68,400","69,000","72,000","76,200","82,700","96,400","111,000","129,000","145,800","163,200","190,400",
205,2020,000000,,,1,50-000000,      Information,"394,000","397,500","389,300","388,000","397,800","418,100","435,300","463,900","484,900","519,700","578,200","553,000","497,600","476,400","482,400","473,700","466,200","471,400","476,400","441,100","428,500","430,900","436,300","450,000","463,900","488,600","526,400","529,300","543,200","562,100","529,000",
206,2020,000000,,,1,50-511000,        Publishing Industries (except Internet),"89,400","90,900","93,500","95,100","95,900","98,400","99,400","102,600","105,900","109,000","118,100","120,000","111,900","106,700","103,600","101,000","99,600","99,700","98,000","89,600","84,600","86,400","89,400","91,200","93,500","99,500","103,300","108,500","115,100","122,100","125,700",
207,2020,000000,,,1,50-511100,"          Newspaper, Periodical, Book & Directory Publishers","70,700","72,000","71,700","71,700","70,300","70,200","68,200","67,800","68,300","68,000","69,500","67,000","62,600","61,500","60,400","58,800","57,600","55,900","52,300","43,800","38,500","36,500","35,200","34,200","32,700","31,800","30,400","28,200","26,300","24,500","22,000",
208,2020,000000,,,1,50-511200,          Software Publishers,"18,700","18,900","21,800","23,400","25,600","28,200","31,200","34,800","37,600","41,000","48,600","53,000","49,300","45,300","43,200","42,200","42,000","43,800","45,700","45,800","46,100","49,800","54,200","57,000","60,800","67,700","72,800","80,200","88,800","97,600","103,700",
209,2020,000000,,,1,50-512000,        Motion Picture & Sound Recording Industries,"112,900","117,500","113,100","112,700","124,600","139,300","155,000","165,300","167,600","175,600","170,500","154,200","145,900","145,100","157,600","151,700","148,300","151,300","154,100","141,300","144,900","144,200","141,300","144,400","145,700","152,700","173,600","159,600","158,500","158,000","117,100",
210,2020,000000,,,1,50-512100,          Motion Picture & Video Industries,"104,000","109,600","105,700","105,400","116,500","131,100","146,500","156,700","157,800","165,600","160,300","145,600","139,100","139,300","152,600","146,800","143,500","146,100","150,200","137,900","141,100","140,100","137,400","140,800","142,000","149,000","169,800","155,800","154,400","153,500","112,500",
211,2020,000000,,,1,50-512110,            Motion Picture & Video Production,"64,000","67,300","75,500","75,300","85,100","97,100","107,400","116,900","112,100","127,700","125,800","112,500","105,900","106,400","119,500","114,000","111,200","113,800","117,400","105,500","108,900","109,100","107,100","111,100","112,600","118,100","137,600","122,900","120,300","118,900","92,900",
215,2020,000000,,,1,50-515000,        Broadcasting (except Internet),"32,600","33,300","34,200","33,600","33,500","34,000","35,400","35,700","38,100","41,700","46,400","45,900","45,000","45,200","46,900","47,400","47,900","48,800","48,900","46,400","44,000","44,100","44,600","43,400","43,400","43,000","43,600","44,900","44,800","44,200","40,300",
216,2020,000000,,,1,50-515100,          Radio & Television Broadcasting,"24,200","24,500","25,000","24,500","24,800","25,000","26,300","26,700","27,200","27,700","29,300","28,700","28,700","28,100","29,200","29,200","28,700","28,100","28,500","26,600","27,100","27,700","28,300","29,000","29,400","29,600","29,800","30,500","30,400","29,700","26,200",
217,2020,000000,,,1,50-515200,          Cable & Other Subscription Programming,"8,400","8,800","9,200","9,100","8,700","9,000","9,100","8,900","10,900","13,900","17,100","17,100","16,300","17,000","17,700","18,300","19,200","20,700","20,400","19,900","16,900","16,400","16,400","14,400","14,000","13,300","13,900","14,400","14,400","14,500","14,100",
218,2020,000000,,,1,50-517000,        Telecommunications,"125,900","122,100","116,300","115,300","113,500","114,400","110,700","119,800","126,800","132,500","143,900","144,300","131,300","121,500","117,200","112,800","111,600","118,900","118,900","109,300","96,700","92,400","88,400","87,900","85,600","82,000","80,400","75,400","71,400","66,900","62,000",
219,2020,000000,,,1,50-517311,          Wired Telecommunications Carriers,"18,100","18,300","22,000","23,600","27,600","28,700","29,900","30,600","37,900","43,900","52,800","55,100","49,300","47,800","49,700","51,100","50,600","51,500","55,400","55,900","56,400","57,100","59,000","58,500","57,200","55,300","55,100","52,400","49,400","45,800","41,400",
