SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
315,2020,000000,,,1,70-713900,            Other Amusement & Recreation Industries,"80,100","80,400","81,800","83,800","88,400","92,600","96,300","97,700","102,100","104,600","108,000","112,800","115,100","116,400","119,000","119,300","121,500","124,600","124,700","118,900","118,800","119,900","122,800","126,700","131,200","137,300","143,300","148,300","152,700","160,000","101,500",
316,2020,000000,,,1,70-720000,          Accommodation & Food Services,"918,600","938,600","939,100","946,200","964,800","995,700","1,032,300","1,040,200","1,060,700","1,085,900","1,120,000","1,143,300","1,153,500","1,168,600","1,203,300","1,237,100","1,274,800","1,309,200","1,318,400","1,258,700","1,258,700","1,289,000","1,342,500","1,410,200","1,482,400","1,544,400","1,602,900","1,646,800","1,676,900","1,706,500","1,270,800",
317,2020,000000,,,1,70-721000,            Accommodation,"195,800","184,900","178,200","175,500","175,700","178,900","183,500","183,100","190,000","191,400","196,900","197,100","191,300","194,300","199,200","201,900","205,100","209,900","213,300","199,100","196,600","199,400","202,500","208,000","213,500","219,700","224,500","228,100","232,600","238,000","154,600",
318,2020,000000,,,1,70-722000,            Food Services & Drinking Places,"722,800","753,700","760,900","770,700","789,200","816,800","848,800","857,100","870,800","894,400","923,100","946,100","962,200","974,300","1,004,100","1,035,200","1,069,700","1,099,300","1,105,100","1,059,600","1,062,100","1,089,600","1,140,000","1,202,300","1,268,900","1,324,600","1,378,400","1,418,700","1,444,300","1,468,500","1,116,200",
320,2020,000000,,,1,70-722511,              Full-Service Restaurants,"328,800","330,300","333,400","331,900","349,300","361,700","375,300","385,600","398,100","418,900","438,600","450,300","456,400","464,300","478,500","495,000","515,500","534,400","533,300","508,700","512,400","527,400","556,100","581,500","605,400","625,400","643,900","652,300","654,500","655,500","433,300",
321,2020,000000,,,1,70-722590,              Limited-Service Eating Places,"312,600","348,500","354,800","367,200","368,100","382,200","397,600","402,000","406,800","411,700","419,800","427,800","434,300","436,600","452,200","468,200","481,800","491,200","495,900","479,700","478,100","488,100","507,000","537,400","573,700","604,600","634,900","662,700","682,600","701,200","623,600",
322,2020,000000,,,1,70-722300,              Special Food Services,"53,800","46,600","45,200","44,400","45,300","46,300","48,700","42,600","38,500","37,500","38,500","41,700","45,300","48,300","49,000","48,000","48,600","49,000","50,800","46,100","47,000","49,300","51,300","56,200","60,900","65,100","68,900","71,200","73,900","76,700","42,100",
323,2020,000000,,,1,70-722400,              Drinking Places (Alcoholic Beverages),"27,600","28,200","27,600","27,200","26,500","26,600","27,200","27,000","27,400","26,400","26,200","26,300","26,200","25,100","24,500","24,100","23,800","24,600","25,100","25,100","24,600","24,800","25,700","27,100","28,900","29,500","30,700","32,600","33,400","35,200","17,200",
324,2020,000000,811000-813000,,1,80-000000,      Other Services,"415,300","418,900","413,700","412,300","420,200","430,600","439,300","444,900","459,900","473,200","486,400","497,900","504,400","503,300","502,900","504,400","506,100","511,100","510,200","484,900","483,600","492,400","503,500","515,500","534,800","543,600","553,700","563,700","571,700","576,200","473,200",
325,2020,000000,,,1,80-811000,        Repair & Maintenance,"135,800","135,100","130,700","128,200","130,900","137,000","143,200","145,900","150,000","154,500","158,700","161,000","160,600","157,700","158,400","160,600","159,300","157,000","150,300","136,400","135,900","137,900","140,300","144,200","149,000","152,600","155,400","158,900","159,500","158,100","142,300",
326,2020,000000,,,1,80-811100,          Automotive Repair & Maintenance,"94,400","95,400","93,100","92,500","95,100","99,300","105,700","108,500","111,700","116,000","119,200","121,900","123,200","120,600","120,300","121,400","121,100","119,100","113,100","102,200","100,700","101,900","104,200","107,600","111,200","113,900","116,900","120,700","121,400","119,800","107,500",
327,2020,000000,,,1,80-811300,          Commercial & Industrial Machinery,"14,700","14,000","13,300","12,500","12,500","13,100","13,600","14,000","14,400","14,800","15,200","15,400","14,900","14,900","15,900","16,900","17,000","17,300","17,700","16,100","15,700","16,500","16,900","17,400","18,400","19,000","18,600","18,400","18,300","18,600","17,000",
328,2020,000000,,,1,80-811400,          Personal & Household Goods Repair,"12,200","11,700","10,900","10,400","10,300","10,100","9,600","9,800","10,000","10,200","10,500","10,000","9,700","9,600","9,500","9,800","9,300","8,800","8,600","7,500","7,300","7,400","7,700","8,000","8,400","8,800","8,800","8,900","9,100","9,200","8,300",
330,2020,000000,,,1,80-812000,        Personal & Laundry Services,"119,600","120,900","118,700","116,500","114,300","116,900","119,900","121,600","125,100","128,100","131,200","133,700","135,200","135,000","135,600","138,200","140,600","143,400","145,100","138,500","139,100","142,600","148,600","154,600","162,100","168,300","173,800","177,000","181,600","187,100","128,600",
331,2020,000000,,,1,80-812100,          Personal Care Services,"40,100","41,100","40,100","38,600","37,300","37,900","38,500","38,700","40,100","42,300","44,300","46,600","48,300","49,300","51,200","53,400","55,600","57,000","59,400","57,700","58,900","61,200","64,800","67,700","71,600","75,200","78,800","81,700","84,800","89,200","53,400",
333,2020,000000,,,1,80-812300,          Drycleaning & Laundry Services,"40,800","41,000","40,400","39,700","38,900","39,800","40,500","40,800","41,400","42,000","41,700","40,700","40,400","39,600","39,500","40,000","39,700","39,200","38,100","35,200","33,900","33,500","33,900","34,000","34,200","34,600","34,900","34,600","34,600","34,700","27,600",
334,2020,000000,,,1,80-812900,          Other Personal Services,"28,500","28,300","28,200","28,600","28,500","29,500","30,800","31,800","33,100","33,800","35,100","36,000","35,900","35,700","34,800","34,700","35,400","37,100","38,300","36,500","36,800","38,100","39,800","42,600","45,900","47,800","49,200","49,800","51,100","52,000","36,900",
336,2020,000000,,,1,80-813000,"        Religious, Grants, Civic, Professional & Like Org","159,900","162,900","164,200","167,600","175,100","176,700","176,300","177,500","184,800","190,600","196,600","203,200","208,600","210,500","208,900","205,600","206,200","210,800","214,700","210,000","208,600","211,900","214,600","216,700","223,700","222,800","224,600","227,800","230,700","231,000","202,400",
337,2020,000000,,,1,80-813100,          Religious Organizations,"68,700","68,700","69,400","73,500","78,200","78,300","77,400","78,300","82,300","83,900","85,800","87,600","89,000","91,400","91,900","92,200","91,600","92,900","92,300","90,500","90,700","92,300","90,700","90,800","94,400","94,300","93,200","94,300","94,500","92,100","83,300",
338,2020,000000,,,1,80-813200,          Grantmaking & Giving Services,"16,000","16,900","17,900","18,100","19,200","20,000","20,600","20,600","21,000","22,000","22,400","23,600","23,900","22,500","21,800","21,300","21,000","22,000","22,200","21,200","21,600","22,400","23,000","22,800","23,200","23,500","23,800","25,100","25,900","26,700","25,000",
339,2020,000000,,,1,80-813300,          Social Advocacy Organizations,"9,600","10,700","11,100","11,500","12,700","13,000","13,100","13,700","15,100","16,500","17,600","18,400","19,300","20,200","19,700","19,500","20,300","20,700","21,800","21,700","20,900","20,900","22,600","23,500","23,300","22,900","24,100","25,500","26,900","28,000","28,000",
340,2020,000000,,,1,80-813400,          Civic & Social Organizations,"30,600","30,800","30,200","29,900","30,700","31,300","30,600","30,500","31,000","31,600","33,000","34,100","35,500","35,600","34,800","34,200","34,700","35,900","37,400","36,400","35,600","36,900","37,700","39,100","40,900","40,700","41,200","41,600","41,900","43,100","29,000",
341,2020,000000,,,1,80-813900,"          Business, Labor, Political & Similar Organizations","35,000","35,800","35,600","34,700","34,400","34,200","34,600","34,400","35,400","36,600","37,800","39,600","40,900","41,000","40,700","38,500","38,600","39,300","41,000","40,200","39,800","39,400","40,700","40,500","42,000","41,400","42,300","41,300","41,400","41,000","37,100",
342,2020,000000,"910000, 920000, 930000, 940000",,1,90-000000,      Government,"2,074,800","2,090,600","2,095,600","2,080,600","2,093,200","2,107,000","2,113,300","2,140,700","2,166,100","2,239,300","2,318,100","2,382,100","2,447,100","2,426,100","2,397,700","2,420,200","2,452,300","2,494,600","2,518,900","2,479,600","2,448,400","2,404,900","2,376,300","2,374,300","2,414,000","2,463,000","2,515,700","2,554,200","2,581,600","2,597,400","2,487,100",
343,2020,000000,910000-912999,,1,90-910000,        Federal Government,"362,100","347,500","345,900","336,200","324,900","311,900","295,900","284,600","272,500","270,100","272,900","254,300","253,800","255,400","251,000","250,400","248,600","247,000","248,300","251,200","268,400","255,200","250,600","245,600","242,500","244,400","247,600","248,200","246,200","248,200","260,700",
344,2020,000000,,,1,90-912991,          Federal Government excluding Department of Defense,"231,500","222,700","223,100","221,300","220,800","216,900","209,000","204,500","199,500","204,000","212,200","197,000","197,000","199,400","195,400","195,800","194,800","193,300","193,600","193,100","207,400","193,100","189,200","185,400","184,200","185,200","187,100","187,400","185,200","185,500","195,900",
345,2020,000000,,,1,90-919110,          Department of Defense,"130,600","124,800","122,800","114,900","104,100","95,000","86,800","80,100","73,000","66,100","60,700","57,400","56,800","55,900","55,600","54,600","53,900","53,700","54,700","58,000","61,000","62,200","61,300","60,100","58,200","59,100","60,500","60,800","61,100","62,700","64,800",
346,2020,000000,"920000, 930000",,1,90-940000,        State & Local Government,"1,712,700","1,743,100","1,749,700","1,744,400","1,768,300","1,795,100","1,817,500","1,856,100","1,893,600","1,969,300","2,045,200","2,127,700","2,193,300","2,170,700","2,146,700","2,169,800","2,203,600","2,247,600","2,270,600","2,228,400","2,180,000","2,149,700","2,125,700","2,128,800","2,171,500","2,218,600","2,268,200","2,306,000","2,335,400","2,349,200","2,226,400",
347,2020,000000,"921611, 922999",,1,90-920000,          State Government,"382,000","386,800","384,100","386,400","395,700","403,500","405,700","408,200","413,000","428,300","443,400","461,200","472,100","471,700","462,600","463,300","473,600","486,600","491,300","490,700","483,500","485,400","482,200","484,300","496,700","509,400","519,700","528,000","534,000","533,400","521,600",
348,2020,000000,,,1,90-921611,            State Government Education,"168,500","167,600","163,900","163,000","165,200","170,100","173,100","177,600","182,700","189,300","194,300","201,100","208,200","210,200","207,000","208,200","213,400","218,400","223,000","222,100","218,400","223,000","225,900","230,700","238,100","246,200","254,000","260,600","263,300","257,600","242,300",
349,2020,000000,,,1,90-922000,            State Government Excluding Education,"213,500","219,200","220,100","223,400","230,600","233,400","232,600","230,600","230,300","239,000","249,100","260,100","264,000","261,500","255,500","255,100","260,200","268,200","268,300","268,600","265,100","262,400","256,300","253,500","258,600","263,200","265,700","267,400","270,800","275,800","279,300",
350,2020,000000,"931611, 939012, 939022",,1,90-930000,          Local Government,"1,330,700","1,356,400","1,365,700","1,358,000","1,372,600","1,391,600","1,411,800","1,447,900","1,480,500","1,541,000","1,601,800","1,666,600","1,721,200","1,699,000","1,684,100","1,706,400","1,730,000","1,761,000","1,779,300","1,737,800","1,696,500","1,664,300","1,643,500","1,644,500","1,674,800","1,709,200","1,748,400","1,778,100","1,801,300","1,815,800","1,704,900",
351,2020,000000,,,1,90-931611,            Local Government Education,"721,500","731,200","735,200","738,600","750,100","761,600","783,800","819,200","843,800","886,200","916,000","947,300","977,400","949,800","935,100","940,800","948,700","960,200","965,900","932,200","918,000","907,700","894,200","891,800","907,700","929,500","952,900","970,300","982,400","986,600","903,300",
352,2020,000000,,,1,90-932000,            Local Government Excluding Education,"609,200","625,200","630,400","619,400","622,500","630,000","627,900","628,700","636,700","654,800","685,800","719,300","743,800","749,300","749,000","765,700","781,400","800,800","813,300","805,600","778,500","756,600","749,400","752,700","767,100","779,800","795,500","807,800","818,900","829,200","801,500",
353,2020,000000,,,1,90-939012,            County,"274,800","283,200","287,300","279,900","283,600","286,300","282,600","283,700","291,800","303,500","314,100","326,000","337,100","332,500","326,200","331,300","339,200","349,500","356,100","349,300","338,400","327,400","325,000","326,000","331,100","336,500","343,500","348,400","353,500","356,500","356,400",
354,2020,000000,,,1,90-939022,            City,"233,700","237,500","235,800","232,900","233,200","234,800","236,800","239,400","241,400","245,900","252,000","259,500","264,900","266,900","265,700","265,700","272,600","278,200","282,300","281,200","268,400","260,500","255,400","253,900","256,800","260,400","265,200","269,200","272,100","275,500","260,300",
355,2020,000000,,,1,90-939032,            Special Districts,"100,600","104,500","107,300","106,500","105,600","104,500","103,200","100,200","97,000","97,600","100,400","103,500","107,000","108,200","109,900","114,700","114,500","116,300","117,700","118,000","116,800","114,300","113,500","115,500","120,600","125,400","127,400","128,600","129,700","131,300","127,800",
356,2020,000000,,,1,90-931150,             Indian Tribes,0,0,0,0,0,"4,500","5,400","5,500","6,500","7,900","19,300","30,300","34,800","41,700","47,200","53,900","55,100","56,900","57,300","57,100","54,900","54,400","55,400","57,300","58,600","57,500","59,500","61,600","63,700","65,800","57,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:                          The unemployment rate is calculated using unrounded data. Data may not add due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column C:  County FIPS code or MSA designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column E:  the historical series has a non-economic break in January of years displayed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column F:  a '1' means the cell is currently estimated & published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                             a '2' means the cell is currently published but is determined by addition or subtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                             a '5' means the cell is currently published, is made up of multiple NAICS codes and is determined by addition or subtraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column G:  'SS-NAICS' refers to the North American Industry Classification System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
