County,Rates,Counts,Year
Merced,7.74,20.0,2019
Modoc,0.0,0.0,2019
Mono,0.0,0.0,2019
Monterey,4.46,20.0,2019
Napa,2.29,3.0,2019
Nevada,10.45,10.0,2019
Orange,8.13,272.0,2019
Placer,7.39,30.0,2019
Plumas,11.77,2.0,2019
Riverside,9.77,245.0,2019
Sacramento,7.39,119.0,2019
San Benito,7.98,5.0,2019
San Bernardino,6.1,133.0,2019
San Diego,8.92,314.0,2019
San Francisco,26.96,279.0,2019
San Joaquin,5.3,39.0,2019
San Luis Obispo,8.12,21.0,2019
San Mateo,7.87,65.0,2019
Santa Barbara,5.54,26.0,2019
Santa Clara,4.12,88.0,2019
Santa Cruz,10.47,29.0,2019
Shasta,11.11,18.0,2019
Sierra,0.0,0.0,2019
Siskiyou,5.98,2.0,2019
Solano,7.32,34.0,2019
Sonoma,13.09,65.0,2019
Stanislaus,8.57,46.0,2019
Sutter,2.5,3.0,2019
Tehama,1.02,1.0,2019
Trinity,19.65,2.0,2019
Tulare,2.52,12.0,2019
Tuolumne,1.6,2.0,2019
Unknown,,4.0,2019
Ventura,10.05,89.0,2019
Yolo,3.91,9.0,2019
Yuba,10.82,8.0,2019
Alameda,8.09,144.0,2020
Alpine,0.0,0.0,2020
Amador,13.07,4.0,2020
Butte,11.54,26.0,2020
Calaveras,7.0,2.0,2020
California,13.54,5502.0,2020
Colusa,14.72,3.0,2020
Contra Costa,12.61,144.0,2020
Del Norte,9.01,3.0,2020
El Dorado,11.72,22.0,2020
Fresno,7.01,71.0,2020
Glenn,14.87,3.0,2020
Humboldt,18.34,24.0,2020
Imperial,19.07,32.0,2020
Inyo,22.03,3.0,2020
Kern,24.32,222.0,2020
Kings,7.36,10.0,2020
Lake,26.11,17.0,2020
Lassen,18.12,7.0,2020
Los Angeles,12.4,1300.0,2020
Madera,4.87,7.0,2020
Marin,14.06,33.0,2020
Mariposa,3.87,1.0,2020
Mendocino,25.84,20.0,2020
Merced,9.98,29.0,2020
Modoc,0.0,0.0,2020
Mono,0.0,0.0,2020
Monterey,5.85,25.0,2020
Napa,5.2,8.0,2020
Nevada,34.09,30.0,2020
Orange,15.45,503.0,2020
Placer,12.22,45.0,2020
Plumas,6.28,1.0,2020
Riverside,16.05,400.0,2020
Sacramento,6.81,107.0,2020
San Benito,6.33,4.0,2020
San Bernardino,12.95,288.0,2020
San Diego,15.14,528.0,2020
San Francisco,44.51,443.0,2020
San Joaquin,11.1,85.0,2020
San Luis Obispo,20.56,57.0,2020
San Mateo,10.06,81.0,2020
Santa Barbara,3.54,16.0,2020
Santa Clara,7.1,143.0,2020
Santa Cruz,9.65,26.0,2020
Shasta,16.25,27.0,2020
Sierra,0.0,0.0,2020
Siskiyou,19.37,7.0,2020
Solano,8.71,39.0,2020
Sonoma,23.69,111.0,2020
Stanislaus,13.5,74.0,2020
Sutter,10.35,11.0,2020
Tehama,3.38,2.0,2020
Trinity,0.0,0.0,2020
Tulare,8.22,39.0,2020
Tuolumne,3.48,2.0,2020
Unknown,,113.0,2020
Ventura,17.07,141.0,2020
Yolo,4.04,10.0,2020
Yuba,10.64,9.0,2020
